timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585937654277,863,POST save,200,OK,Thread Group 1-4,text,true,,12694,437,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,209,0,80
1585937654277,209,POST save-0,302,Found,Thread Group 1-4,text,true,,193,295,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/save,209,0,80
1585937654487,653,POST save-1,200,OK,Thread Group 1-4,text,true,,12501,142,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,653,0,0
1585937654432,748,GET,200,OK,Thread Group 1-9,text,true,,12501,142,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,748,0,71
1585937654362,866,POST save,200,OK,Thread Group 1-2,text,true,,12694,437,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,198,0,78
1585937654362,198,POST save-0,302,Found,Thread Group 1-2,text,true,,193,295,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/save,198,0,78
1585937654560,668,POST save-1,200,OK,Thread Group 1-2,text,true,,12501,142,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,668,0,0
1585937654364,939,DELETE URL,200,OK,Thread Group 1-1,text,true,,12694,376,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,263,0,0
1585937654364,263,DELETE URL-0,302,Found,Thread Group 1-1,text,true,,193,234,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/delete,263,0,0
1585937654627,676,DELETE URL-1,200,OK,Thread Group 1-1,text,true,,12501,142,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,676,0,0
1585937654469,882,POST save,200,OK,Thread Group 1-3,text,true,,12694,437,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,208,0,75
1585937654469,208,POST save-0,302,Found,Thread Group 1-3,text,true,,193,295,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/save,208,0,75
1585937654677,674,POST save-1,200,OK,Thread Group 1-3,text,true,,12501,142,9,9,http://rss-kantkowi-nodejs.azurewebsites.net/,674,0,0
