Sample #,Start time,Thread name,Label,Sample time (ms),Status,Bytes,Sent bytes,Latency,Connect time(ms)
130,14:25.8,Thread Group 1-18,POST save,3244,Success,12694,437,197,79
131,14:23.2,Thread Group 1-7,POST send,5946,Success,12694,372,2636,0
132,14:25.7,Thread Group 1-15,DELETE URL,3438,Success,12694,376,346,95
133,14:25.8,Thread Group 1-2,DELETE URL,3366,Success,12694,376,251,0
134,14:27.4,Thread Group 1-22,GET,1742,Success,12501,142,1742,75
135,14:25.7,Thread Group 1-17,POST send,3436,Success,12694,372,2373,85
136,14:25.7,Thread Group 1-6,DELETE URL,3444,Success,12694,376,456,89
137,14:27.4,Thread Group 1-10,POST save,1796,Success,12694,437,120,0
138,14:25.8,Thread Group 1-14,POST send,3419,Success,12694,372,2436,72
139,14:27.4,Thread Group 1-1,POST save,1860,Success,12694,437,122,0
140,14:28.2,Thread Group 1-5,DELETE URL,1210,Success,12694,376,325,73
141,14:28.4,Thread Group 1-23,GET,961,Success,12501,142,961,78
142,14:28.2,Thread Group 1-3,DELETE URL,1253,Success,12694,376,337,80
143,14:28.8,Thread Group 1-4,GET,871,Success,12501,142,871,168
144,14:28.9,Thread Group 1-9,GET,1230,Success,12501,142,1229,303
145,14:29.0,Thread Group 1-8,POST send,2244,Success,12694,372,782,0
146,14:30.1,Thread Group 1-9,POST save,1280,Success,12694,437,114,0
147,14:28.9,Thread Group 1-20,POST send,2432,Success,12694,372,1300,213
148,14:28.9,Thread Group 1-21,POST save,2858,Success,12694,437,388,242
149,14:29.4,Thread Group 1-5,GET,2389,Success,12501,142,2389,0
150,14:29.0,Thread Group 1-13,DELETE URL,2815,Success,12694,376,458,203
151,14:29.5,Thread Group 1-3,GET,2347,Success,12501,142,2347,0
152,14:29.0,Thread Group 1-16,DELETE URL,2813,Success,12694,376,472,177
153,14:29.4,Thread Group 1-23,POST save,2425,Success,12694,437,116,0
154,14:29.2,Thread Group 1-17,DELETE URL,2655,Success,12694,376,375,0
155,14:29.4,Thread Group 1-24,GET,2453,Success,12501,142,2453,83
156,14:29.0,Thread Group 1-11,POST send,2922,Success,12694,372,1308,186
157,14:29.7,Thread Group 1-4,POST save,2263,Success,12694,437,109,0
158,14:29.0,Thread Group 1-18,POST send,2909,Success,12694,372,1351,154
159,14:29.2,Thread Group 1-7,DELETE URL,2768,Success,12694,376,533,80
160,14:29.0,Thread Group 1-12,POST send,2997,Success,12694,372,1405,163
161,14:29.2,Thread Group 1-14,DELETE URL,2876,Success,12694,376,398,0
162,14:29.2,Thread Group 1-2,GET,2987,Success,12501,142,2987,84
163,14:29.2,Thread Group 1-15,GET,3080,Success,12501,142,3080,87
164,14:30.4,Thread Group 1-25,GET,1841,Success,12501,142,1841,70
165,14:26.1,Thread Group 1-19,POST send,6187,Success,12694,372,3091,0
166,14:29.2,Thread Group 1-6,GET,3122,Success,12501,142,3122,71
167,14:29.2,Thread Group 1-22,POST save,3145,Success,12694,437,119,0
168,14:31.2,Thread Group 1-8,DELETE URL,1188,Success,12694,376,253,0
169,14:31.4,Thread Group 1-26,GET,963,Success,12501,142,963,77
170,14:31.4,Thread Group 1-20,DELETE URL,1207,Success,12694,376,349,82
171,14:31.9,Thread Group 1-18,DELETE URL,2212,Success,12694,376,713,382
172,14:32.0,Thread Group 1-12,DELETE URL,2168,Success,12694,376,654,317
173,14:32.3,Thread Group 1-6,POST save,1878,Success,12694,437,362,231
174,14:31.8,Thread Group 1-21,POST send,2424,Success,12694,372,925,139
175,14:29.2,Thread Group 1-10,POST send,5613,Success,12694,372,3139,75
176,14:31.9,Thread Group 1-24,POST save,2953,Success,12694,437,660,362
177,14:31.8,Thread Group 1-5,POST save,3086,Success,12694,437,623,375
178,14:32.4,Thread Group 1-27,GET,2472,Success,12501,142,2472,142
179,14:31.9,Thread Group 1-11,DELETE URL,3032,Success,12694,376,675,357
180,14:32.4,Thread Group 1-8,GET,2574,Success,12501,142,2574,183
181,14:32.4,Thread Group 1-26,POST save,2578,Success,12694,437,187,0
182,14:32.6,Thread Group 1-20,GET,2396,Success,12501,142,2396,0
183,14:31.8,Thread Group 1-17,GET,3148,Success,12501,142,3148,408
184,14:32.2,Thread Group 1-2,POST save,2924,Success,12694,437,423,199
185,14:29.2,Thread Group 1-1,POST send,5900,Success,12694,372,3020,75
186,14:31.8,Thread Group 1-16,GET,3379,Success,12501,142,3379,438
187,14:31.8,Thread Group 1-13,GET,3421,Success,12501,142,3421,288
188,14:32.3,Thread Group 1-19,DELETE URL,2923,Success,12694,376,763,241
189,14:32.3,Thread Group 1-15,POST save,2963,Success,12694,437,331,129
190,14:31.9,Thread Group 1-7,GET,3291,Success,12501,142,3291,379
191,14:33.4,Thread Group 1-28,GET,1799,Success,12501,142,1799,68
192,14:34.1,Thread Group 1-18,GET,1095,Success,12501,142,1095,89
193,14:31.4,Thread Group 1-9,POST send,3875,Success,12694,372,1029,82
194,14:34.2,Thread Group 1-12,GET,1064,Success,12501,142,1064,89
195,14:32.3,Thread Group 1-25,POST save,2970,Success,12694,437,285,0
196,14:32.1,Thread Group 1-14,GET,3166,Success,12501,142,3166,267
197,14:31.8,Thread Group 1-3,POST save,3450,Success,12694,437,598,356
198,14:34.4,Thread Group 1-29,GET,920,Success,12501,142,920,67
199,14:34.2,Thread Group 1-21,DELETE URL,1170,Success,12694,376,328,79
200,14:35.2,Thread Group 1-7,POST save,2218,Success,12694,437,228,90
201,14:35.4,Thread Group 1-30,GET,2021,Success,12501,142,2021,82
202,14:34.9,Thread Group 1-27,POST save,2956,Success,12694,437,480,305
203,14:35.0,Thread Group 1-8,POST save,2905,Success,12694,437,420,250
204,14:35.2,Thread Group 1-12,POST save,2637,Success,12694,437,138,0
205,14:35.2,Thread Group 1-19,GET,2673,Success,12501,142,2673,85
206,14:35.2,Thread Group 1-16,POST save,2697,Success,12694,437,234,110
207,14:35.2,Thread Group 1-13,POST save,2692,Success,12694,437,208,92
208,14:35.2,Thread Group 1-14,POST save,2659,Success,12694,437,208,80
209,14:35.2,Thread Group 1-18,POST save,2671,Success,12694,437,143,0
210,14:35.0,Thread Group 1-20,POST save,2932,Success,12694,437,399,233
211,14:35.4,Thread Group 1-29,POST save,2566,Success,12694,437,101,0
212,14:35.2,Thread Group 1-28,POST save,2691,Success,12694,437,149,0
213,14:35.2,Thread Group 1-1,DELETE URL,2780,Success,12694,376,367,77
214,14:34.9,Thread Group 1-11,GET,2997,Success,12501,142,2997,271
215,14:35.2,Thread Group 1-9,DELETE URL,2701,Success,12694,376,518,76
216,14:31.8,Thread Group 1-23,POST send,6144,Success,12694,372,4191,431
217,14:34.8,Thread Group 1-10,DELETE URL,3156,Success,12694,376,701,391
218,14:36.4,Thread Group 1-31,GET,1550,Success,12501,142,1549,68
219,14:37.4,Thread Group 1-32,GET,961,Success,12501,142,961,168
220,14:37.5,Thread Group 1-30,POST save,1082,Success,12694,437,377,161
221,14:37.9,Thread Group 1-8,POST send,2446,Success,12694,372,1137,98
222,14:38.4,Thread Group 1-33,GET,1906,Success,12501,142,1905,87
223,14:35.1,Thread Group 1-2,POST send,5283,Success,12694,372,3882,131
224,14:39.4,Thread Group 1-34,GET,946,Success,12501,142,946,81
225,14:37.4,Thread Group 1-7,POST send,3789,Success,12694,372,1006,167
226,14:37.9,Thread Group 1-11,POST save,3300,Success,12694,437,246,80
227,14:31.9,Thread Group 1-4,POST send,9318,Success,12694,372,3322,383
228,14:32.3,Thread Group 1-22,POST send,8932,Success,12694,372,2926,218
229,14:38.4,Thread Group 1-32,POST save,2873,Success,12694,437,126,0
230,14:38.0,Thread Group 1-23,DELETE URL,3321,Success,12694,376,456,0
231,14:35.0,Thread Group 1-17,POST save,6301,Success,12694,437,387,225
232,14:37.9,Thread Group 1-19,POST save,3408,Success,12694,437,296,120
233,14:37.9,Thread Group 1-1,GET,3372,Success,12501,142,3372,79
234,14:35.4,Thread Group 1-21,GET,5941,Success,12501,142,5941,0
235,14:37.9,Thread Group 1-9,GET,3369,Success,12501,142,3369,81
236,14:38.0,Thread Group 1-10,GET,3346,Success,12501,142,3346,118
237,14:34.8,Thread Group 1-24,POST send,6595,Success,12694,372,3134,363
238,14:35.2,Thread Group 1-15,POST send,6238,Success,12694,372,2766,84
239,14:34.9,Thread Group 1-5,POST send,6598,Success,12694,372,3125,342
240,14:40.4,Thread Group 1-34,POST save,1099,Success,12694,437,100,0
241,14:35.0,Thread Group 1-26,POST send,8828,Success,12694,372,3007,237
242,14:40.3,Thread Group 1-33,POST save,3468,Success,12694,437,128,0
243,14:40.4,Thread Group 1-35,GET,3389,Success,12501,142,3389,70
244,14:40.4,Thread Group 1-2,DELETE URL,3450,Success,12694,376,246,0
245,14:40.3,Thread Group 1-8,DELETE URL,3509,Success,12694,376,346,79
246,14:34.2,Thread Group 1-6,POST send,9644,Success,12694,372,1064,0
247,14:38.0,Thread Group 1-31,POST save,5856,Success,12694,437,165,0
248,14:37.9,Thread Group 1-28,POST send,5920,Success,12694,372,3395,87
